Word,Alternative.spelling,Freq_pm,Dom_PoS_SUBTLEX,Nletters,Nphon,Nsyll,Lemma_highest_PoS,AoA_Kup,Perc_known,AoA_Kup_lem,Perc_known_lem,AoA_Bird_lem,AoA_Bristol_lem,AoA_Cort_lem,AoA_Schock,mid_level_category
snack,snack,9.14,Noun,5,4,1,snack,2.78,1.0,2.78,1.0,,,3.47,,food_other
bad,bad,545.18,Adjective,3,3,1,bad,2.79,1.0,2.79,1.0,3.65,,2.61,,quality
sleep,sleep,227.94,Verb,5,4,1,sleep,2.79,1.0,2.79,1.0,3.99,,3.47,,body_action
I,I,39971.16,Pronoun,1,1,1,I,2.79,1.0,2.79,1.0,3.69,,,,Pronoun
dog,dog,192.84,Noun,3,3,1,dog,2.8,1.0,2.8,1.0,,3.62,3.37,,animal_other
jump,jump,69.82,Verb,4,4,1,jump,2.84,1.0,2.84,1.0,,4.62,4.47,,motion
birthday,birthday,97.22,Noun,8,5,2,birthday,2.85,1.0,2.85,1.0,,,,3.49,time_unit
animal,animal,45.49,Noun,6,6,3,animal,2.89,1.0,2.89,1.0,,4.62,,,animal_other
ask,ask,483.14,Verb,3,3,1,ask,2.89,1.0,2.89,1.0,4.02,,4.02,,stative
bed,bed,187.12,Noun,3,3,1,bed,2.89,1.0,2.89,1.0,,3.62,2.86,,artifact_other
big,big,682.82,Adjective,3,3,1,big,2.89,1.0,2.89,1.0,3.52,,3.24,,quality
stop,stop,707.27,Verb,4,4,1,stop,2.89,1.0,2.89,1.0,4.68,,3.4,,stative
a,a,20415.27,Article,1,1,1,a,2.89,1.0,2.89,1.0,3.16,,,,Article
ball,ball,104.96,Noun,4,3,1,ball,2.9,1.0,2.9,1.0,,3.26,3.25,,weapon
up,up,3670.0,Adverb,2,2,1,up,2.92,1.0,2.92,1.0,3.94,,3.11,,Adverb
sock,sock,8.98,Noun,4,3,1,sock,2.94,1.0,2.94,1.0,,3.67,3.69,,clothing
nose,nose,69.75,Noun,4,3,1,nose,2.95,1.0,2.95,1.0,,4.31,3.45,,artifact_other
bathroom,bathroom,61.67,Noun,8,6,2,bathroom,3.0,1.0,3.0,1.0,,,,3.95,room
leg,leg,56.51,Noun,3,3,1,leg,3.0,1.0,3.0,1.0,3.64,,3.25,,body_part
neck,neck,59.51,Noun,4,3,1,neck,3.0,1.0,3.0,1.0,,4.64,3.88,,body_part
toe,toe,12.69,Noun,3,2,1,toe,3.0,1.0,3.0,1.0,,4.09,3.43,,body_part
toy,toy,16.84,Noun,3,2,1,toy,3.0,1.0,3.0,1.0,,3.52,2.92,,toy
door,door,292.06,Noun,4,3,1,door,3.05,1.0,3.05,1.0,,4.47,,,structure
fly,fly,85.0,Verb,3,3,1,fly,3.05,1.0,3.05,1.0,4.09,,4.27,,motion
papa,papa,42.59,Noun,4,4,2,papa,3.05,1.0,3.05,1.0,,,,,person
grandpa,grandpa,32.57,Noun,7,7,2,grandpa,3.06,1.0,3.06,1.0,,,,,person
see,see,2556.73,Verb,3,2,1,see,3.06,1.0,3.06,1.0,4.62,,3.5,,perception
cartoon,cartoon,3.76,Noun,7,6,2,cartoon,3.11,1.0,3.11,1.0,,,,4.0,communication_other
clothes,clothes,101.14,Noun,7,5,1,clothes,3.11,1.0,3.11,1.0,,4.09,4.27,,clothing
flower,flower,22.76,Noun,6,4,2,flower,3.11,1.0,3.11,1.0,3.86,,,4.33,flower
grandmamma,grandmamma,0.2,Noun,10,9,3,grandmamma,3.11,1.0,3.11,1.0,,,,,unknown
man,man,1845.75,Noun,3,3,1,man,3.11,1.0,3.11,1.0,3.78,,3.63,,person
lap,lap,13.47,Noun,3,3,1,lap,3.15,1.0,3.15,1.0,,5.39,4.99,,body_part
