Word,Alternative.spelling,Freq_pm,Dom_PoS_SUBTLEX,Nletters,Nphon,Nsyll,Lemma_highest_PoS,AoA_Kup,Perc_known,AoA_Kup_lem,Perc_known_lem,AoA_Bird_lem,AoA_Bristol_lem,AoA_Cort_lem,AoA_Schock
mouse,mouse,19.12,Noun,5,3,1,mouse,4.94,1.00,4.94,1.00,,4.99,,
sleeve,sleeve,5.61,Noun,6,4,1,sleeve,4.94,1.00,4.94,1.00,,5.56,5.20,
spinach,spinach,2.55,Noun,7,6,2,spinach,4.94,1.00,4.94,1.00,,,,6.47
storm,storm,30.86,Noun,5,5,1,storm,4.94,1.00,4.94,1.00,,5.35,5.33,
storybook,storybook,0.53,Noun,9,8,3,storybook,4.94,1.00,4.94,1.00,,,,
string,string,12.67,Noun,6,5,1,string,4.94,1.00,4.94,1.00,,5.01,5.40,
bible,bible,18.33,Noun,5,5,2,bible,4.95,1.00,4.95,1.00,,,,5.56
bow,bow,20.27,Noun,3,2,1,bow,4.95,1.00,4.95,1.00,,5.54,,
class,class,117.35,Noun,5,4,1,class,4.95,1.00,4.95,1.00,4.87,,5.13,
cousin,cousin,48.84,Noun,6,5,2,cousin,4.95,1.00,4.95,1.00,,5.67,,5.62
curtain,curtain,10.29,Noun,7,5,2,curtain,4.95,1.00,4.95,1.00,,,,6.40
daughter,daughter,171.35,Noun,8,4,2,daughter,4.95,1.00,4.95,1.00,4.87,,,5.20
driver,driver,47.37,Noun,6,5,2,driver,4.95,1.00,4.95,1.00,,5.77,,
duckling,duckling,0.76,Noun,8,6,2,duckling,4.95,1.00,4.95,1.00,,,,
eraser,eraser,1.00,Noun,6,5,3,eraser,4.95,1.00,4.95,1.00,,,,
fairytale,fairytale,0.25,Noun,9,7,3,fairytale,4.95,1.00,4.95,1.00,,,,
firework,firework,0.16,Noun,8,6,2,firework,4.95,1.00,4.95,1.00,,,,
fold,fold,8.63,Verb,4,4,1,fold,4.95,1.00,4.95,1.00,,6.41,5.79,
frosting,frosting,1.41,Noun,8,7,2,frosting,4.95,1.00,4.95,1.00,,,,
library,library,22.94,Noun,7,7,3,library,4.95,1.00,4.95,1.00,,,,
mustard,mustard,6.45,Noun,7,6,2,mustard,4.95,1.00,4.95,1.00,6.08,7.56,,4.97
place,place,602.67,Noun,5,4,1,place,4.95,1.00,4.95,1.00,6.04,5.50,5.27,
plane,plane,95.53,Noun,5,4,1,plane,4.95,1.00,4.95,1.00,9.90,,5.33,
poke,poke,5.84,Verb,4,3,1,poke,4.95,1.00,4.95,1.00,,,5.59,
real,real,442.80,Adjective,4,3,1,real,4.95,1.00,4.95,1.00,5.72,,,
rinse,rinse,2.35,Verb,5,4,1,rinse,4.95,1.00,4.95,1.00,6.23,,6.20,
tall,tall,32.33,Adjective,4,3,1,tall,4.95,1.00,4.95,1.00,5.02,4.47,4.67,
woman,woman,434.63,Noun,5,5,2,woman,4.95,1.00,4.95,1.00,,5.30,,4.97
beachball,beach ball,#N/A,Noun,9,6,2,beachball,4.95,1.00,4.95,1.00,,,,
each,each,253.25,Pronoun,4,2,1,each,4.95,0.95,4.95,0.95,,,5.39,
fireworks,fireworks,5.63,Noun,9,7,2,fireworks,4.95,1.00,4.95,1.00,,,,
only,only,1083.71,Adverb,4,4,2,only,4.95,1.00,4.95,1.00,5.10,,,5.49
saying,saying,291.65,Verb,6,4,2,saying,4.95,1.00,4.95,1.00,,,,5.87
yourself,yourself,434.33,Pronoun,8,6,2,yourself,4.95,1.00,4.95,1.00,6.08,,,4.91
once,once,344.88,Adverb,4,4,1,once,4.97,1.00,4.97,1.00,4.62,,5.68,
bacon,bacon,11.86,Noun,5,5,2,bacon,5.00,1.00,5.00,1.00,,5.18,,4.75
bathe,bathe,2.51,Verb,5,3,1,bathe,5.00,1.00,5.00,1.00,4.98,,5.86,
bee,bee,10.35,Noun,3,2,1,bee,5.00,1.00,5.00,1.00,3.99,,3.82,
cheer,cheer,18.69,Verb,5,3,1,cheer,5.00,1.00,5.00,1.00,5.69,6.18,6.17,
closet,closet,27.08,Noun,6,6,2,closet,5.00,1.00,5.00,1.00,,,,5.20
devil,devil,41.33,Noun,5,5,2,devil,5.00,1.00,5.00,1.00,,,,5.74
fix,fix,86.78,Verb,3,4,1,fix,5.00,1.00,5.00,1.00,,,5.26,
giraffe,giraffe,1.49,Noun,7,4,2,giraffe,5.00,1.00,5.00,1.00,6.27,,,4.54
harm,harm,31.78,Noun,4,4,1,harm,5.00,1.00,5.00,1.00,6.50,6.07,6.20,
honesty,honesty,7.22,Noun,7,6,3,honesty,5.00,1.00,5.00,1.00,6.77,,,
lasagna,lasagne,3.59,Noun,7,7,3,lasagna,5.00,1.00,5.00,1.00,,,,
loss,loss,29.12,Noun,4,3,1,loss,5.00,1.00,5.00,1.00,,6.67,5.33,
necklace,necklace,9.75,Noun,8,6,2,necklace,5.00,1.00,5.00,1.00,,,,5.02
open,open,320.41,Verb,4,4,2,open,5.00,1.00,5.00,1.00,,,,4.38
peanut,peanut,12.35,Noun,6,5,2,peanut,5.00,1.00,5.00,1.00,,,,4.48
piggyback,piggyback,1.08,Noun,9,7,3,piggyback,5.00,1.00,5.00,1.00,,,,
pour,pour,15.12,Verb,4,3,1,pour,5.00,1.00,5.00,1.00,5.07,,5.79,
pretzel,pretzel,2.00,Noun,7,7,2,pretzel,5.00,1.00,5.00,1.00,,10.73,,4.97
puppet,puppet,5.47,Noun,6,5,2,puppet,5.00,1.00,5.00,1.00,,,,4.86
rectangle,rectangle,0.22,Noun,9,9,3,rectangle,5.00,1.00,5.00,1.00,,,,
roof,roof,35.65,Noun,4,3,1,roof,5.00,1.00,5.00,1.00,9.83,,5.53,
runner,runner,4.96,Noun,6,4,2,runner,5.00,1.00,5.00,1.00,6.16,,,
sadness,sadness,4.78,Noun,7,6,2,sadness,5.00,1.00,5.00,1.00,6.77,,,
self,self,14.16,Noun,4,4,1,self,5.00,1.00,5.00,1.00,,6.62,5.33,
shadow,shadow,21.18,Noun,6,4,2,shadow,5.00,1.00,5.00,1.00,,6.30,,5.49
special,special,148.57,Adjective,7,6,2,special,5.00,1.00,5.00,1.00,6.60,5.31,,5.62
spin,spin,14.63,Verb,4,4,1,spin,5.00,1.00,5.00,1.00,,5.22,5.59,
sponge,sponge,6.71,Noun,6,5,1,sponge,5.00,1.00,5.00,1.00,,5.48,5.66,
stuff,stuff,306.92,Noun,5,4,1,stuff,5.00,1.00,5.00,1.00,6.81,,5.06,
sunlight,sunlight,4.63,Noun,8,6,2,sunlight,5.00,1.00,5.00,1.00,,5.88,,
sweatshirt,sweatshirt,2.35,Noun,10,7,2,sweatshirt,5.00,1.00,5.00,1.00,,,,
tag,tag,13.88,Noun,3,3,1,tag,5.00,1.00,5.00,1.00,,,4.93,
wrestle,wrestle,3.45,Verb,7,5,2,wrestle,5.00,1.00,5.00,1.00,7.58,,,6.00
zipper,zipper,2.82,Noun,6,4,2,zipper,5.00,1.00,5.00,1.00,,,,5.08
december,december,7.59,7.59,8,7,3,december,5.01,1.00,5.01,1.00,5.48,,,
holidays,holidays,9.14,Noun,8,7,3,holidays,5.01,1.00,5.01,1.00,,,,
those,those,753.02,Determiner,5,3,1,those,5.01,1.00,5.01,1.00,5.33,,4.99,
better,better,794.00,Adverb,6,4,2,better,5.02,1.00,5.02,1.00,4.57,,,5.43
fox,fox,21.61,Name,3,4,1,fox,5.02,1.00,5.02,1.00,,5.77,4.21,
we,we,9011.90,Pronoun,2,2,1,we,5.04,1.00,5.04,1.00,4.23,,3.31,
another,another,509.22,Determiner,7,5,3,another,5.05,1.00,5.05,1.00,4.87,,,
something,something,1500.16,Pronoun,9,6,2,something,5.05,1.00,5.05,1.00,5.54,,,5.37
beauty,beauty,48.24,Noun,6,5,2,beauty,5.05,1.00,5.05,1.00,,6.92,,5.74
chest,chest,40.98,Noun,5,4,1,chest,5.05,1.00,5.05,1.00,,6.13,5.88,
doorbell,doorbell,8.33,Noun,8,6,2,doorbell,5.05,1.00,5.05,1.00,,,,
everyday,everyday,10.88,Adjective,8,6,3,everyday,5.05,1.00,5.05,1.00,,,,
fireman,fireman,2.92,Noun,7,6,2,fireman,5.05,1.00,5.05,1.00,5.46,,,
fuzzy,fuzzy,5.82,Adjective,5,4,2,fuzzy,5.05,1.00,5.05,1.00,,,,
gift,gift,64.51,Noun,4,4,1,gift,5.05,1.00,5.05,1.00,,5.24,4.79,
great,great,820.86,Adjective,5,4,1,great,5.05,1.00,5.05,1.00,5.48,,5.13,
hole,hole,58.22,Noun,4,3,1,hole,5.05,1.00,5.05,1.00,4.37,,4.73,
indoor,indoor,1.33,Adjective,6,5,2,indoor,5.05,1.00,5.05,1.00,,4.75,,
itch,itch,4.18,Noun,4,2,1,itch,5.05,1.00,5.05,1.00,,,4.50,
kindergartner,kindergartner,0.04,Noun,13,11,4,kindergartner,5.05,1.00,5.05,1.00,,,,
messy,messy,6.86,Adjective,5,4,2,messy,5.05,1.00,5.05,1.00,,,,
motorcycle,motorcycle,8.92,Noun,10,9,4,motorcycle,5.05,1.00,5.05,1.00,,,,
police,police,236.16,Noun,6,5,2,police,5.05,1.00,5.05,1.00,5.43,,,5.20
raisin,raisin,1.63,Noun,6,5,2,raisin,5.05,1.00,5.05,1.00,,5.09,,5.14
salt,salt,19.51,Noun,4,4,1,salt,5.05,1.00,5.05,1.00,,4.82,5.19,
whisker,whisker,0.25,Noun,7,5,2,whisker,5.05,1.00,5.05,1.00,,,,
cage,cage,20.27,Noun,4,3,1,cage,5.06,1.00,5.06,1.00,,6.09,5.40,
cheek,cheek,7.16,Noun,5,3,1,cheek,5.06,1.00,5.06,1.00,,5.47,4.71,
cleanup,cleanup,1.96,Noun,7,6,2,cleanup,5.06,1.00,5.06,1.00,,,,
dollar,dollar,27.65,Noun,6,4,2,dollar,5.06,1.00,5.06,1.00,,,,4.97
dust,dust,23.84,Noun,4,4,1,dust,5.06,1.00,5.06,1.00,5.40,6.66,5.89,
fill,fill,43.94,Verb,4,3,1,fill,5.06,1.00,5.06,1.00,,5.39,5.14,
ghost,ghost,36.59,Noun,5,4,1,ghost,5.06,1.00,5.06,1.00,,4.47,4.93,
handclap,handclap,0.12,Noun,8,8,2,handclap,5.06,0.90,5.06,0.90,,,,
lemonade,lemonade,5.51,Noun,8,7,3,lemonade,5.06,1.00,5.06,1.00,,,,
neighbor,neighbour,16.94,Noun,8,4,2,neighbor,5.06,1.00,5.06,1.00,,,,5.14
opposite,opposite,15.20,Adjective,8,6,3,opposite,5.06,1.00,5.06,1.00,7.47,,,
powder,powder,16.04,Noun,6,4,2,powder,5.06,1.00,5.06,1.00,,,,6.89
singer,singer,15.69,Noun,6,4,2,singer,5.06,1.00,5.06,1.00,,6.35,,
sleepyhead,sleepyhead,0.53,Noun,10,8,3,sleepyhead,5.06,1.00,5.06,1.00,,,,
spell,spell,36.65,Noun,5,4,1,spell,5.06,1.00,5.06,1.00,5.64,5.50,5.34,
spicy,spicy,3.31,Adjective,5,5,2,spicy,5.06,1.00,5.06,1.00,,,,
spit,spit,19.35,Verb,4,4,1,spit,5.06,1.00,5.06,1.00,5.37,5.24,4.99,
wakeup,wakeup,0.10,Noun,6,5,2,wakeup,5.06,1.00,5.06,1.00,,,,
walrus,walrus,1.12,Noun,6,6,2,walrus,5.06,0.94,5.06,0.94,,,,5.49
overnight,overnight,10.02,Adverb,9,6,3,overnight,5.06,1.00,5.06,1.00,,,,
about,about,3631.49,Preposition,5,4,2,about,5.07,1.00,5.07,1.00,4.81,,,6.00
away,away,730.90,Adverb,4,3,2,away,5.07,1.00,5.07,1.00,4.62,4.54,,5.74
never,never,1362.55,Adverb,5,4,2,never,5.07,1.00,5.07,1.00,5.57,,,5.43
pat,pat,18.29,Name,3,3,1,pat,5.07,1.00,5.07,1.00,4.67,,4.99,
careful,careful,108.82,Adjective,7,6,2,careful,5.09,1.00,5.09,1.00,,5.96,,
throat,throat,36.02,Noun,6,4,1,throat,5.09,1.00,5.09,1.00,,6.22,4.99,
her,her,2835.82,Pronoun,3,2,1,her,5.09,1.00,5.09,1.00,4.15,,3.65,
toiletpaper,toilet paper,#N/A,#N/A,11,9,4,toiletpaper,5.09,1.00,5.09,1.00,,,,
add,add,33.06,Verb,3,2,1,add,5.10,1.00,5.10,1.00,4.43,,4.43,
bride,bride,24.22,Noun,5,4,1,bride,5.10,1.00,5.10,1.00,,6.66,6.40,
cooking,cooking,25.63,Noun,7,5,2,cooking,5.10,1.00,5.10,1.00,,,,
daytime,daytime,3.78,Noun,7,5,2,daytime,5.10,1.00,5.10,1.00,,,,
mattress,mattress,6.61,Noun,8,6,2,mattress,5.10,1.00,5.10,1.00,,,,6.47
snake,snake,22.35,Noun,5,4,1,snake,5.10,1.00,5.10,1.00,,5.88,4.25,
toenail,toenail,0.86,Noun,7,5,2,toenail,5.10,1.00,5.10,1.00,,,,
too,too,1371.57,Adverb,3,2,1,too,5.10,1.00,5.10,1.00,5.72,,4.34,
alive,alive,154.47,Adjective,5,4,2,alive,5.11,1.00,5.11,1.00,5.19,5.77,,5.87
backseat,backseat,2.29,Noun,8,6,2,backseat,5.11,1.00,5.11,1.00,,,,
be,be,5746.76,Verb,2,2,1,be,5.11,1.00,5.11,1.00,5.53,,3.54,
boogieman,boogieman,0.06,Noun,9,7,3,boogieman,5.11,1.00,5.11,1.00,,,,
branch,branch,10.08,Noun,6,5,1,branch,5.11,1.00,5.11,1.00,,6.15,6.03,
bumpy,bumpy,3.73,Adjective,5,5,2,bumpy,5.11,1.00,5.11,1.00,,,,
camel,camel,5.02,Noun,5,5,2,camel,5.11,1.00,5.11,1.00,5.61,6.37,,5.68
campfire,campfire,1.25,Noun,8,7,3,campfire,5.11,1.00,5.11,1.00,,,,
cheat,cheat,17.67,Verb,5,3,1,cheat,5.11,1.00,5.11,1.00,6.14,,7.37,
crocodile,crocodile,2.25,Noun,9,8,3,crocodile,5.11,1.00,5.11,1.00,5.82,,,
dandelion,dandelion,0.29,Noun,9,9,4,dandelion,5.11,0.95,5.11,0.95,,,,
feel,feel,627.24,Verb,4,3,1,feel,5.11,1.00,5.11,1.00,4.70,,4.99,
flip,flip,14.27,Verb,4,4,1,flip,5.11,1.00,5.11,1.00,,,5.66,
follow,follow,123.20,Verb,6,4,2,follow,5.11,1.00,5.11,1.00,5.41,5.39,,6.00
handprint,handprint,0.63,Noun,9,9,2,handprint,5.11,1.00,5.11,1.00,,,,
hell,hell,470.82,Noun,4,3,1,hell,5.11,1.00,5.11,1.00,,6.35,6.06,
inch,inch,12.37,Noun,4,3,1,inch,5.11,1.00,5.11,1.00,5.69,7.47,6.33,
mix,mix,16.35,Verb,3,4,1,mix,5.11,1.00,5.11,1.00,7.66,,5.39,
money,money,640.76,Noun,5,4,2,money,5.11,1.00,5.11,1.00,,5.09,,4.64
mop,mop,4.14,Noun,3,3,1,mop,5.11,1.00,5.11,1.00,6.08,,5.46,
muffin,muffin,5.82,Noun,6,5,2,muffin,5.11,1.00,5.11,1.00,,6.33,,4.69
nest,nest,11.10,Noun,4,4,1,nest,5.11,1.00,5.11,1.00,,5.75,5.53,
part,part,261.51,Noun,4,4,1,part,5.11,1.00,5.11,1.00,5.96,6.35,5.79,
pen,pen,24.73,Noun,3,3,1,pen,5.11,1.00,5.11,1.00,,,4.32,
pictures,pictures,68.18,Noun,8,6,2,pictures,5.11,1.00,5.11,1.00,,,,
plastic,plastic,18.76,Noun,7,7,2,plastic,5.11,1.00,5.11,1.00,,,,6.47
pup,pup,3.22,Noun,3,3,1,pup,5.11,1.00,5.11,1.00,,,5.13,
puzzle,puzzle,7.33,Noun,6,5,2,puzzle,5.11,1.00,5.11,1.00,,6.47,,5.25
rat,rat,32.61,Noun,3,3,1,rat,5.11,1.00,5.11,1.00,5.22,,4.67,
safe,safe,143.20,Adjective,4,3,1,safe,5.11,1.00,5.11,1.00,,5.31,4.99,
speed,speed,41.25,Noun,5,4,1,speed,5.11,1.00,5.11,1.00,6.81,,6.53,
sundae,sundae,1.59,Noun,6,5,2,sundae,5.11,1.00,5.11,1.00,,,,5.87
swimmer,swimmer,3.73,Noun,7,5,2,swimmer,5.11,1.00,5.11,1.00,,,,
tease,tease,5.69,Verb,5,3,1,tease,5.11,1.00,5.11,1.00,,,6.26,
town,town,247.92,Noun,4,3,1,town,5.11,1.00,5.11,1.00,5.72,,5.66,
unbutton,unbutton,0.75,Noun,8,7,3,unbutton,5.11,1.00,5.11,1.00,,,,
week,week,238.51,Noun,4,3,1,week,5.11,1.00,5.11,1.00,,,5.89,
whiskers,whiskers,2.14,Noun,8,6,2,whiskers,5.11,1.00,5.11,1.00,,,,
anybody,anybody,226.92,Pronoun,7,7,4,anybody,5.11,1.00,5.11,1.00,,6.20,,
prize,prize,22.39,Noun,5,4,1,prize,5.11,1.00,5.11,1.00,,5.18,4.86,
scoop,scoop,5.67,Noun,5,4,1,scoop,5.14,1.00,5.14,1.00,,5.45,6.94,
child,child,157.65,Noun,5,4,1,child,5.15,1.00,5.15,1.00,4.37,,4.60,
found,found,396.00,Verb,5,4,1,found,5.15,1.00,5.15,1.00,,,5.40,
so,so,4244.16,Adverb,2,2,1,so,5.15,1.00,5.15,1.00,4.68,,3.81,
address,address,52.27,Noun,7,5,2,address,5.15,1.00,5.15,1.00,,6.07,,5.49
attic,attic,7.84,Noun,5,4,2,attic,5.15,1.00,5.15,1.00,,,,6.13
church,church,69.67,Noun,6,3,1,church,5.15,1.00,5.15,1.00,,5.67,4.38,
fat,fat,79.43,Adjective,3,3,1,fat,5.15,1.00,5.15,1.00,,4.88,4.65,
goose,goose,13.04,Noun,5,3,1,goose,5.15,1.00,5.15,1.00,5.33,,4.52,
macaroni,macaroni,3.25,Noun,8,7,4,macaroni,5.15,1.00,5.15,1.00,,7.62,,
mug,mug,6.84,Noun,3,3,1,mug,5.15,1.00,5.15,1.00,10.99,,6.87,
pillowcase,pillowcase,0.65,Noun,10,7,3,pillowcase,5.15,1.00,5.15,1.00,,,,
pool,pool,46.98,Noun,4,3,1,pool,5.15,1.00,5.15,1.00,,4.94,4.45,
married,married,238.49,Adjective,7,5,2,married,5.16,1.00,5.16,1.00,6.16,,,
carry,carry,65.90,Verb,5,4,2,carry,5.16,1.00,5.16,1.00,,5.11,,5.56
corncob,corncob,0.22,Noun,7,7,2,corncob,5.16,1.00,5.16,1.00,,,,
firefighter,firefighter,1.02,Noun,11,7,3,firefighter,5.16,1.00,5.16,1.00,,,,
fisherman,fisherman,4.33,Noun,9,7,3,fisherman,5.16,1.00,5.16,1.00,,5.88,,
ink,ink,7.49,Noun,3,3,1,ink,5.16,1.00,5.16,1.00,,,6.26,
itchy,itchy,2.27,Adjective,5,3,2,itchy,5.16,1.00,5.16,1.00,,,,
page,page,37.49,Noun,4,3,1,page,5.16,1.00,5.16,1.00,4.90,5.47,4.92,
photo,photo,22.84,Noun,5,4,2,photo,5.16,1.00,5.16,1.00,,5.48,,
pond,pond,6.33,Noun,4,4,1,pond,5.16,1.00,5.16,1.00,,4.94,5.34,
scratchy,scratchy,0.96,Noun,8,6,2,scratchy,5.16,1.00,5.16,1.00,,,,
skinny,skinny,13.98,Adjective,6,5,2,skinny,5.16,1.00,5.16,1.00,,7.71,,5.62
swimwear,swimwear,0.18,Noun,8,7,2,swimwear,5.16,1.00,5.16,1.00,,,,
tent,tent,17.49,Noun,4,4,1,tent,5.16,1.00,5.16,1.00,,5.77,5.73,
time,time,1958.63,Noun,4,3,1,time,5.16,1.00,5.16,1.00,5.27,,4.92,
touch,touch,147.73,Verb,5,3,1,touch,5.16,1.00,5.16,1.00,,5.50,4.52,
freckles,freckles,1.98,Noun,8,7,2,freckles,5.17,1.00,5.17,1.00,,,,
bark,bark,5.49,Noun,4,4,1,bark,5.17,1.00,5.17,1.00,,5.35,4.25,
burger,burger,10.24,Noun,6,4,2,burger,5.17,1.00,5.17,1.00,,,,4.91
caterpillar,caterpillar,1.12,Noun,11,8,4,caterpillar,5.17,1.00,5.17,1.00,,,,
choice,choice,97.55,Noun,6,3,1,choice,5.17,1.00,5.17,1.00,6.93,,6.40,
cornflake,cornflake,0.14,Verb,9,8,2,cornflake,5.17,1.00,5.17,1.00,,,,
dead,dead,448.98,Adjective,4,3,1,dead,5.17,1.00,5.17,1.00,,,5.26,
deer,deer,8.71,Noun,4,3,1,deer,5.17,1.00,5.17,1.00,,5.73,4.85,
dummy,dummy,9.80,Noun,5,4,2,dummy,5.17,1.00,5.17,1.00,,,,5.37
fairy,fairy,16.69,Noun,5,4,2,fairy,5.17,1.00,5.17,1.00,,4.99,,4.14
flush,flush,9.37,Verb,5,4,1,flush,5.17,1.00,5.17,1.00,,6.41,5.93,
heart,heart,244.18,Noun,5,4,1,heart,5.17,1.00,5.17,1.00,,5.73,4.85,
love,love,1114.98,Verb,4,3,1,love,5.17,1.00,5.17,1.00,4.80,6.15,3.65,
niceness,niceness,0.24,Noun,8,6,2,niceness,5.17,1.00,5.17,1.00,6.81,,,
playhouse,playhouse,0.65,Noun,9,6,2,playhouse,5.17,1.00,5.17,1.00,,,,
radio,radio,77.18,Noun,5,5,3,radio,5.17,1.00,5.17,1.00,,6.41,,
swallow,swallow,12.73,Verb,7,5,2,swallow,5.17,1.00,5.17,1.00,7.10,5.60,,5.56
tug,tug,2.75,Noun,3,3,1,tug,5.17,1.00,5.17,1.00,,,5.59,
unbuttoned,unbuttoned,0.35,Verb,10,8,3,unbuttoned,5.17,1.00,5.17,1.00,,,,
windowsill,windowsill,0.65,Noun,10,8,3,windowsill,5.17,1.00,5.17,1.00,,,,
front,front,181.55,Preposition,5,5,1,front,5.19,0.95,5.19,0.95,4.70,,4.92,
tomorrow,tomorrow,335.96,Adverb,8,6,3,tomorrow,5.19,0.95,5.19,0.95,4.87,,,
holiday,holiday,21.29,Noun,7,6,3,holiday,5.19,1.00,5.19,1.00,5.51,5.30,,
van,van,51.78,Name,3,3,1,van,5.20,0.95,5.20,0.95,,5.47,5.39,
broccoli,broccoli,2.27,Noun,8,7,3,broccoli,5.20,1.00,5.20,1.00,,,,
joke,joke,73.02,Noun,4,3,1,joke,5.20,1.00,5.20,1.00,6.66,5.60,5.46,
berry,berry,3.49,Name,5,4,2,berry,5.21,0.95,5.21,0.95,,5.88,,
frost,frost,4.80,Name,5,5,1,frost,5.21,1.00,5.21,1.00,,5.41,6.40,
himself,himself,140.55,Pronoun,7,7,2,himself,5.21,1.00,5.21,1.00,5.72,,,
nothing,nothing,853.61,Pronoun,7,5,2,nothing,5.21,1.00,5.21,1.00,5.13,,,5.74
own,own,459.20,Determiner,3,2,1,own,5.21,1.00,5.21,1.00,5.74,,5.59,
beaver,beaver,4.82,Noun,6,4,2,beaver,5.21,1.00,5.21,1.00,7.12,,,4.86
birth,birth,27.55,Noun,5,3,1,birth,5.21,1.00,5.21,1.00,5.84,6.62,5.61,
corner,corner,52.53,Noun,6,5,2,corner,5.21,1.00,5.21,1.00,,,,
free,free,177.53,Adjective,4,3,1,free,5.21,1.00,5.21,1.00,,,5.89,
goat,goat,10.53,Noun,4,3,1,goat,5.21,1.00,5.21,1.00,5.27,4.28,4.25,
gross,gross,15.27,Adjective,5,4,1,gross,5.21,1.00,5.21,1.00,,8.94,5.99,
hamburger,hamburger,7.78,Noun,9,7,3,hamburger,5.21,1.00,5.21,1.00,,,,
jingle,jingle,5.06,Noun,6,6,2,jingle,5.21,1.00,5.21,1.00,,7.71,,6.33
nightlight,nightlight,0.08,Noun,10,6,2,nightlight,5.21,1.00,5.21,1.00,,,,
nut,nut,15.63,Noun,3,3,1,nut,5.21,1.00,5.21,1.00,,,4.47,
playmate,playmate,1.24,Noun,8,6,2,playmate,5.21,1.00,5.21,1.00,,,,
ropes,ropes,5.94,Noun,5,4,1,ropes,5.21,1.00,5.21,1.00,,,,
sandal,sandal,0.22,Noun,6,6,2,sandal,5.21,1.00,5.21,1.00,,,,
schoolwork,schoolwork,0.96,Noun,10,7,2,schoolwork,5.21,1.00,5.21,1.00,,,,
storytelling,storytelling,0.47,Noun,12,10,4,storytelling,5.21,1.00,5.21,1.00,,,,
amazing,amazing,81.71,Adjective,7,6,3,amazing,5.22,1.00,5.22,1.00,,,,
chain,chain,21.22,Noun,5,3,1,chain,5.22,1.00,5.22,1.00,,6.30,6.03,
cluck,cluck,1.43,Noun,5,4,1,cluck,5.22,0.95,5.22,0.95,,,6.06,
cradle,cradle,2.84,Noun,6,6,2,cradle,5.22,1.00,5.22,1.00,,,,6.68
crazy,crazy,272.27,Adjective,5,5,2,crazy,5.22,1.00,5.22,1.00,,6.83,,5.74
dentist,dentist,11.20,Noun,7,7,2,dentist,5.22,1.00,5.22,1.00,5.48,5.77,,5.25
fur,fur,8.27,Noun,3,2,1,fur,5.22,1.00,5.22,1.00,,,5.47,
glitter,glitter,2.04,Noun,7,5,2,glitter,5.22,1.00,5.22,1.00,6.53,,,5.62
land,land,88.12,Noun,4,4,1,land,5.22,1.00,5.22,1.00,5.94,5.82,5.19,
moose,moose,5.53,Noun,5,3,1,moose,5.22,1.00,5.22,1.00,9.34,,5.56,
postman,postman,2.51,Noun,7,7,2,postman,5.22,1.00,5.22,1.00,4.87,,,
rag,rag,4.78,Noun,3,3,1,rag,5.22,1.00,5.22,1.00,5.48,,5.59,
shell,shell,13.22,Noun,5,3,1,shell,5.22,1.00,5.22,1.00,,5.75,5.13,
summertime,summertime,1.20,Noun,10,7,3,summertime,5.22,1.00,5.22,1.00,,,,
sweater,sweater,13.80,Noun,7,5,2,sweater,5.22,1.00,5.22,1.00,,,,5.25
vacation,vacation,32.80,Noun,8,7,3,vacation,5.22,1.00,5.22,1.00,,9.07,,
wagon,waggon,17.76,Noun,5,5,2,wagon,5.22,1.00,5.22,1.00,,7.09,,5.25
ballpark,ballpark,1.75,Noun,8,7,2,ballpark,5.24,1.00,5.24,1.00,,,,
stain,stain,6.20,Noun,5,4,1,stain,5.24,1.00,5.24,1.00,,6.30,7.08,
year,year,277.92,Noun,4,3,1,year,5.24,1.00,5.24,1.00,,5.50,5.86,
barefoot,barefoot,2.37,Adjective,8,6,2,barefoot,5.25,1.00,5.25,1.00,,,,
ending,ending,15.92,Noun,6,5,2,ending,5.25,1.00,5.25,1.00,6.02,,,
prayer,prayer,15.78,Noun,6,4,1,prayer,5.25,1.00,5.25,1.00,,5.50,5.53,
purr,purr,0.76,Noun,4,2,1,purr,5.25,1.00,5.25,1.00,,,3.91,
radish,radish,0.61,Noun,6,5,2,radish,5.25,1.00,5.25,1.00,,,,8.28
ribbon,ribbon,5.06,Noun,6,5,2,ribbon,5.25,1.00,5.25,1.00,,5.82,,6.20
hurray,hurray,1.69,Interjection,6,4,2,hurray,5.25,1.00,5.25,1.00,,,,6.33
nobody,nobody,266.65,Pronoun,6,6,3,nobody,5.25,1.00,5.25,1.00,,,,
now,now,3202.61,Adverb,3,2,1,now,5.25,1.00,5.25,1.00,4.37,,4.12,
quack,quack,4.63,Interjection,5,4,1,quack,5.25,1.00,5.25,1.00,,,5.13,
six,six,199.53,Number,3,4,1,six,5.25,1.00,5.25,1.00,4.52,,3.24,
teaching,teaching,19.80,Verb,8,5,2,teaching,5.25,1.00,5.25,1.00,6.11,,,
there,there,4348.12,Ex,5,3,1,there,5.25,1.00,5.25,1.00,4.71,,,
tight,tight,50.92,Adverb,5,3,1,tight,5.25,1.00,5.25,1.00,,6.05,5.79,
ballerina,ballerina,2.31,Noun,9,7,4,ballerina,5.26,1.00,5.26,1.00,,,,
boring,boring,27.41,Adjective,6,5,2,boring,5.26,1.00,5.26,1.00,,5.62,,5.43
drive,drive,153.14,Verb,5,4,1,drive,5.26,1.00,5.26,1.00,6.06,5.11,5.73,
