Word,Alternative.spelling,Freq_pm,Dom_PoS_SUBTLEX,Nletters,Nphon,Nsyll,Lemma_highest_PoS,AoA_Kup,Perc_known,AoA_Kup_lem,Perc_known_lem,AoA_Bird_lem,AoA_Bristol_lem,AoA_Cort_lem,AoA_Schock
crayon,crayon,0.41,Noun,6,5,2,crayon,3.20,1.00,3.20,1.00,,,,
yellow,yellow,33.80,Adjective,6,4,2,yellow,3.20,1.00,3.20,1.00,4.87,,,3.45
pinkie,pinkie,1.67,Noun,6,5,2,pinkie,3.21,1.00,3.21,1.00,,,,
bathtub,bathtub,6.10,Noun,7,6,2,bathtub,3.22,1.00,3.22,1.00,,,,
rock,rock,86.16,Noun,4,3,1,rock,3.22,1.00,3.22,1.00,,4.64,4.23,
small,small,124.96,Adjective,5,4,1,small,3.22,1.00,3.22,1.00,4.31,,4.01,
towel,towel,14.16,Noun,5,4,2,towel,3.22,1.00,3.22,1.00,,,,4.75
nine,nine,67.47,Number,4,3,1,nine,3.23,1.00,3.23,1.00,4.84,4.31,3.63,
one,one,3072.24,Number,3,3,1,one,3.23,1.00,3.23,1.00,3.99,,2.25,
pants,pants,58.75,Noun,5,5,1,pants,3.23,1.00,3.23,1.00,,,3.82,
bath,bath,31.12,Noun,4,3,1,bath,3.23,1.00,3.23,1.00,3.97,4.20,3.37,
sad,sad,63.37,Adjective,3,3,1,sad,3.24,1.00,3.24,1.00,4.90,,3.19,
fire,fire,215.49,Noun,4,3,2,fire,3.25,1.00,3.25,1.00,3.94,,4.79,
food,food,154.43,Noun,4,3,1,food,3.25,1.00,3.25,1.00,,,3.05,
arm,arm,65.41,Noun,3,3,1,arm,3.26,1.00,3.26,1.00,,4.05,3.43,
cake,cake,45.06,Noun,4,3,1,cake,3.26,1.00,3.26,1.00,,4.47,4.21,
chicken,chicken,61.73,Noun,7,5,2,chicken,3.26,1.00,3.26,1.00,,5.15,,4.05
drop,drop,130.61,Verb,4,4,1,drop,3.26,1.00,3.26,1.00,4.51,4.67,5.53,
orange,orange,22.31,Adjective,6,5,2,orange,3.26,1.00,3.26,1.00,,4.26,,
puppy,puppy,11.45,Noun,5,4,2,puppy,3.28,1.00,3.28,1.00,,4.26,,3.78
bye,bye,180.08,Interjection,3,2,1,bye,3.28,1.00,3.28,1.00,,,2.86,
fell,fell,73.00,Verb,4,3,1,fell,3.28,1.00,3.28,1.00,4.51,,4.67,
me,me,9241.94,Pronoun,2,2,1,me,3.28,1.00,3.28,1.00,3.54,,2.60,
out,out,3865.31,Adverb,3,2,1,out,3.28,1.00,3.28,1.00,4.51,,4.08,
come,come,3140.98,Verb,4,3,1,come,3.32,1.00,3.32,1.00,4.70,,4.53,
chocolate,chocolate,29.39,Noun,9,6,2,chocolate,3.33,1.00,3.33,1.00,,,,
