"downloaded","language","form","form_type","data_id","child_id","age","measure","vocab","n","first_administration","monolingual","typically_developing"
2023-11-30,"English (American)","WG","WG",193944,82992,8,"comprehension",13,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193960,83000,8,"comprehension",0,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193964,83002,8,"comprehension",4,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193973,83007,8,"comprehension",0,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193989,83015,8,"comprehension",384,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193999,83020,8,"comprehension",4,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194005,83023,8,"comprehension",28,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194021,83031,8,"comprehension",103,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194041,83041,8,"comprehension",22,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194065,83053,8,"comprehension",4,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194090,4194,8,"comprehension",12,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194093,83067,8,"comprehension",37,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194095,83068,8,"comprehension",98,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194112,83077,8,"comprehension",19,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194122,83082,8,"comprehension",391,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194146,83094,8,"comprehension",11,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194154,83098,8,"comprehension",26,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194155,4226,8,"comprehension",38,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194167,4232,8,"comprehension",7,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194174,83108,8,"comprehension",7,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194176,83109,8,"comprehension",20,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194184,83113,8,"comprehension",26,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194186,83114,8,"comprehension",24,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194188,83115,8,"comprehension",89,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194206,83124,8,"comprehension",89,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194208,83125,8,"comprehension",8,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194228,83135,8,"comprehension",21,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194245,83144,8,"comprehension",0,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194253,83148,8,"comprehension",24,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194264,4280,8,"comprehension",8,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194271,83157,8,"comprehension",15,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194282,4289,8,"comprehension",26,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194299,83171,8,"comprehension",7,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194309,83176,8,"comprehension",18,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194316,4306,8,"comprehension",42,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194317,83180,8,"comprehension",0,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194325,83184,8,"comprehension",7,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194342,83193,8,"comprehension",1,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194366,83205,8,"comprehension",14,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194372,83208,8,"comprehension",0,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194374,83209,8,"comprehension",12,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194376,83210,8,"comprehension",25,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194390,83217,8,"comprehension",16,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194394,83219,8,"comprehension",12,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194406,83225,8,"comprehension",11,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194410,83227,8,"comprehension",0,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194422,83233,8,"comprehension",65,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194424,83234,8,"comprehension",17,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194426,83235,8,"comprehension",24,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194446,83245,8,"comprehension",5,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194448,83246,8,"comprehension",35,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194456,83250,8,"comprehension",11,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194462,83253,8,"comprehension",50,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194466,83255,8,"comprehension",21,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194472,83258,8,"comprehension",20,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194476,83260,8,"comprehension",19,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194478,83261,8,"comprehension",23,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194482,83263,8,"comprehension",0,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194486,83265,8,"comprehension",8,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194499,83272,8,"comprehension",20,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194514,4404,8,"comprehension",81,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194521,83283,8,"comprehension",25,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194523,83284,8,"comprehension",2,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194524,4409,8,"comprehension",9,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194526,4410,8,"comprehension",8,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194531,83288,8,"comprehension",4,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194532,4413,8,"comprehension",50,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194534,4414,8,"comprehension",8,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194538,4416,8,"comprehension",9,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194539,83292,8,"comprehension",87,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194553,83299,8,"comprehension",2,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194555,83300,8,"comprehension",56,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194557,83301,8,"comprehension",396,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194559,83302,8,"comprehension",63,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194565,83305,8,"comprehension",6,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194569,83307,8,"comprehension",14,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194577,83311,8,"comprehension",23,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194602,83324,8,"comprehension",40,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194634,83340,8,"comprehension",0,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194638,83342,8,"comprehension",2,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194640,83343,8,"comprehension",7,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194644,83345,8,"comprehension",7,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194655,4474,8,"comprehension",10,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194657,4475,8,"comprehension",10,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194658,83352,8,"comprehension",4,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194669,4481,8,"comprehension",0,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194671,4482,8,"comprehension",27,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194673,4483,8,"comprehension",8,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194675,4484,8,"comprehension",15,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194677,4485,8,"comprehension",24,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194678,83362,8,"comprehension",18,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194679,4486,8,"comprehension",15,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194681,4487,8,"comprehension",102,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194688,83367,8,"comprehension",1,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194690,83368,8,"comprehension",0,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194698,83372,8,"comprehension",10,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194737,83392,8,"comprehension",41,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194745,83396,8,"comprehension",0,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194747,83397,8,"comprehension",7,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194751,83399,8,"comprehension",0,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194773,83410,8,"comprehension",13,3676,TRUE,TRUE,TRUE
